id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
11	Adaptation	2013	N/A	N/A	11 min	Short, Sci-Fi	Dawn George	N/A	N/A	An experimental film exploring the impact of technology on the human form.	English	Canada	N/A	N/A	N/A	N/A	N/A	tt2759926	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
12	Affliction	1997	R	19 Feb 1999	114 min	Drama, Mystery, Thriller	Paul Schrader	Russell Banks (novel), Paul Schrader (screenplay)	Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost	Wade Whitehouse is a sheriff of a small New Hampshire town who achieved nothing in life in the opinion of his ex-wife Lillian and daughter Jill and is a heavy drinker. His girlfriend Margie accepts him the way he is. On the first day of the hunting season, Wade's friend Jack takes a wealthy businessman to hunt - and only Jack returns alive. Wade decides to play detective and starts investigating the case despite the fact Jack insists it was an accidental self-inflicted shot.	English	USA, Canada	Won 1 Oscar. Another 11 wins & 15 nominations.	http://ia.media-imdb.com/images/M/MV5BMTY0NDc0NDMzN15BMl5BanBnXkFtZTcwOTU0NjcyMQ@@._V1_SX300.jpg	79	7	10989	tt0118564	87	certified	7.7	47	41	6	Dark and bleak, the 'kick-ass' performances, especially Nolte's 'effective' portrayal of an abused soul, is the reason to see this film.	72	3.5	5366	03 Jul 1999	N/A	Lions Gate	N/A
13	After School Special	2003	R	25 May 2006	90 min	Comedy	David M. Evans	David H. Steinberg	Erik von Detten, Tony Denman, Daniel Farber, Sarah-Jane Potts	Deacon, Matt and Fred will do anything for even a glimpse of sex and spend their mornings pirating porno movies from Fred's after school job at the video store. But when Fred is fired, the well runs dry, and our heroes come up with a new plan: make their own 'adult' film.	English	Germany, USA	N/A	http://ia.media-imdb.com/images/M/MV5BMTg1NzAwNTExNF5BMl5BanBnXkFtZTcwNTQwMjkzMQ@@._V1_SX300.jpg	N/A	4.9	4853	tt0302297	N/A	N/A	N/A	N/A	N/A	N/A	N/A	26	2.8	9972	24 Jan 2006	N/A	Sony Pictures Entertainment	http://www.nationallampoon.com/barelylegal
14	Agnes of God	1985	PG-13	27 Sep 1985	98 min	Drama, Mystery, Thriller	Norman Jewison	John Pielmeier (screenplay), John Pielmeier (stage play)	Jane Fonda, Anne Bancroft, Meg Tilly, Anne Pitoniak	At a convent, fragile, unearthly Sister Agnes gives birth (she says it's a virgin birth), but the child dies. The police soon are involved because of the death of the baby. However, the main conflict is between Mother Superior Miriam Ruth, who wants Agnes left alone, and Dr. Martha Livingston, a psychiatrist determined to help Agnes gain a stronger grasp on reality and uncover any wrongdoers.	English, French, Latin	USA	Nominated for 3 Oscars. Another 1 win & 2 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg4NTEyNTUxNl5BMl5BanBnXkFtZTcwNzkwMzAzMQ@@._V1_SX300.jpg	N/A	6.6	5034	tt0088683	46	rotten	5.5	28	13	15	N/A	56	3.2	6741	21 May 2002	N/A	Sony Pictures Home Entertainment	N/A
15	Air Force One	1997	R	25 Jul 1997	124 min	Action, Adventure, Drama	Wolfgang Petersen	Andrew W. Marlowe	Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson	The President of the USA goes to Moscow and gives a stirring speech outlining the USA's new 'Zero-tolerance' policy with respect to terrorism. On the flight home, terrorists take over Air Force One (the President's official plane) and take the passengers (including his wife and daughter) hostage. The terrorists plan to execute one hostage every half-hour unless/until their demands are met. However, the President is a former Medal of Honor winner, so the terrorists may be in for a surprise...	English, Russian	USA, Germany	Nominated for 2 Oscars. Another 7 wins & 9 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg4NDM4NzA2N15BMl5BanBnXkFtZTcwOTA2NDU2MQ@@._V1_SX300.jpg	61	6.4	130896	tt0118571	79	certified	7	53	42	11	This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.	66	3.2	377536	01 Feb 1998	N/A	Columbia Pictures	N/A
16	Alien	1992	R	22 May 1992	114 min	Horror, Sci-Fi, Thriller	David Fincher	Dan O'Bannon (characters), Ronald Shusett (characters), Vincent Ward (story), David Giler (screenplay), Walter Hill (screenplay), Larry Ferguson (screenplay)	Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann	After escaping from the alien planet, the ship carrying Ellen Ripley crashes onto a remote and inhabited ore refinery. While living in the ore refinery until she is rescued by her employers, Ripley discovers the horrifying reason for her crash: An alien stowaway. As the alien matures and begins to kill off the inhabitants, Ripley is unaware that her true enemy is more than just the killer alien.	English	USA	Nominated for 1 Oscar. Another 4 wins & 18 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQzMTg3NTM2Ml5BMl5BanBnXkFtZTcwMTkzMTk3OA@@._V1_SX300.jpg	59	6.4	177212	tt0103644	44	rotten	5.4	45	20	25	N/A	48	3.1	336898	01 Jun 1999	N/A	Twentieth Century Fox Home Entertainment	N/A
17	Alien Nation	1988	R	07 Oct 1988	91 min	Action, Crime, Sci-Fi	Graham Baker	Rockne S. O'Bannon	James Caan, Mandy Patinkin, Terence Stamp, Kevyn Major Howard	A few years from now, Earth will have the first contact with an alien civilisation. These aliens, known as Newcomers, slowly begin to be integrated into human society after years of quarantine but are victims of a new type of discrimination. When the first Newcomer police officer, Sam Francisco is assigned his new partner, he is given Matthew Sykes , a mildly racist veteran, the animosity between them soon gives way to respect as they investigate the Newcomer underworld, and especially Newcomer leader William Harcourt.	English	USA	1 win & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU5NjYxNjM5MV5BMl5BanBnXkFtZTcwNDk4MTU1MQ@@._V1_SX300.jpg	45	6.3	10295	tt0094631	54	rotten	5.4	26	14	12	Alien Nation takes the interesting premise of extraterrestrials living among us and doesn't do enough with it, emphasizing a police procedural plotline over the more intriguing sci-fi elements.	44	3	15803	27 Mar 2001	N/A	Twentieth Century Fox Home Entertainment	N/A
18	Aliens	1986	R	18 Jul 1986	137 min	Action, Adventure, Sci-Fi	James Cameron	James Cameron (story), David Giler (story), Walter Hill (story), Dan O'Bannon (characters), Ronald Shusett (characters), James Cameron (screenplay)	Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser	Fifty seven years after Ellen Ripley survived her disastrous ordeal, her escape vessel is recovered after drifting across the galaxy as she slept in cryogenic stasis. Back on earth, nobody believed her story about the 'Aliens' on the planet LV-426. After the 'Company' orders the colony on LV-426 to investigate, however, all communication with the colony is lost. The Company enlists Ripley to aid a team of tough, rugged space marines on a rescue mission to the now partially terraformed planet to find out if there are aliens or survivors. As the mission unfolds, Ripley will be forced to come to grips with her worst nightmare, but even as she does, she finds that the worst is yet to come.	English	USA, UK	Won 2 Oscars. Another 16 wins & 21 nominations.	http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_SX300.jpg	87	8.4	415075	tt0090605	98	certified	9	61	60	1	While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.	94	3.8	423222	01 Jun 1999	N/A	20th Century Fox Film Corporat	N/A
19	All About Eve	1950	APPROVED	15 Jan 1951	138 min	Drama	Joseph L. Mankiewicz	Joseph L. Mankiewicz (written for the screen by)	Bette Davis, Anne Baxter, George Sanders, Celeste Holm	Aspiring actress Eve Harrington maneuvers her way into the lives of Broadway star Margo Channing, playwright Lloyd Richards and director Bill Sampson. This classic story of ambition and betrayal has become part of American folklore. Bette Davis claims to have based her character on the persona of film actress Talullah Bankhead. Davis' line 'Fasten your seatbelts, it's going to be a bumpy night' is legendary, but, in fact, all of the film's dialog sparkles with equal brilliance.	English, French	USA	Won 6 Oscars. Another 17 wins & 16 nominations.	http://ia.media-imdb.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg	N/A	8.4	71093	tt0042192	100	certified	9.1	63	63	0	Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.	95	4.2	43155	05 Oct 1999	N/A	20th Century Fox	N/A
20	All the King's Men	2006	PG-13	22 Sep 2006	128 min	Drama, Thriller	Steven Zaillian	Steven Zaillian (screenplay), Robert Penn Warren (novel)	Sean Penn, Jude Law, Anthony Hopkins, Kate Winslet	In the 50's, in Louisiana, the smart populist, manipulative and wolf hick Willie Stark is elected governor with the support of the lower social classes. He joins a team composed of his bodyguard and friend Sugar Boy; the journalist from an aristocratic family Jack Burden; the lobbyist Tiny Duffy; and his mistress Sadie Burke, to face the opposition of the upper classes. When the influent Judge Irwin supports a group of politicians in their request of impeachment, Stark assigns Jack to find some dirtiness along the life of Irwin, leading to a tragedy in the end.	English	Germany, USA	1 win & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMzY1MTIyNDg4MF5BMl5BanBnXkFtZTcwODQ4MTEzMw@@._V1_SX300.jpg	37	6.2	19490	tt0405676	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	58	17 Jul 2007	N/A	N/A	N/A
21	All the President's Men	1976	R	09 Apr 1976	138 min	Drama, History, Mystery	Alan J. Pakula	Carl Bernstein (book), Bob Woodward (book), William Goldman (screenplay)	Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam	In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of Republican fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the Republican Party, and eventually into the White House itself.	English, Spanish	USA	Won 4 Oscars. Another 13 wins & 20 nominations.	http://ia.media-imdb.com/images/M/MV5BODAxMTc4ODcxNF5BMl5BanBnXkFtZTcwNDY0NTAyMQ@@._V1_SX300.jpg	N/A	8	64059	tt0074119	98	certified	9.1	46	45	1	A taut, solidly acted paean to the benefits of a free press and the dangers of unchecked power, made all the more effective by its origins in real-life events.	92	3.9	48729	30 Oct 1997	N/A	Warner Home Video	N/A
22	Almost Famous	2000	R	22 Sep 2000	122 min	Drama, Music, Romance	Cameron Crowe	Cameron Crowe	Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee	William Miller is a 15-year-old kid hired by Rolling Stone magazine to tour with and write about Stillwater, an up and coming rock band. This wonderfully witty coming-of-age film follows William as he falls face first to confront life, love, and lingo.	English	USA	Won 1 Oscar. Another 54 wins & 89 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI0MDc0MzIyM15BMl5BanBnXkFtZTYwMzc4NzA5._V1_SX300.jpg	90	7.9	185078	tt0181875	88	certified	7.9	164	145	19	Almost Famous, with its great ensemble performances and story, is a well-crafted, warm-hearted movie that successfully draws you into its era.	92	3.7	322578	13 Mar 2001	$31.7M	DreamWorks SKG	http://www.almost-famous.com
23	Amadeus	1984	R	05 Apr 1985	160 min	Biography, Drama, Music	Milos Forman	Peter Shaffer (original stage play), Peter Shaffer (original screenplay)	F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice	Antonio Salieri believes that Mozart's music is divine. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. But he can't understand why God favored Mozart, such a vulgar creature, to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is set to take revenge.	English, Italian, Latin, German	USA	Won 8 Oscars. Another 34 wins & 13 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX300.jpg	93	8.4	229988	tt0086879	95	certified	8.7	83	79	4	A lavish, entertaining, powerful film about the life and influence, both positive and negative, of one of Western culture's great artists.	95	3.9	177678	16 Dec 1997	$86.8k	Warner Bros. Pictures	http://movies.warnerbros.com/amadeus
24	Amelia	2009	PG	23 Oct 2009	111 min	Adventure, Biography, Drama	Mira Nair	Ronald Bass, Anna Hamilton Phelan, Susan Butler (book), Mary S. Lovell (book)	Hilary Swank, Richard Gere, Ewan McGregor, Christopher Eccleston	Amelia Earhart, a Kansas girl, discovers the thrill of aviation at age 23, and within 12 years has progressed to winning the Distinguished Flying Cross for being the first woman to pilot a plane solo across the Atlantic Ocean. At age 39, she sets out on an attempt to circumnavigate the globe, an adventure that catapults her into aviation myth.	English	USA, Canada	3 wins & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI5NTI3MjA4M15BMl5BanBnXkFtZTcwMTM3Mzc3Mg@@._V1_SX300.jpg	37	5.8	9098	tt1129445	20	rotten	4.4	157	32	125	Amelia takes the compelling raw materials of its subject's life and does little with them, conventionally ticking off Earhart's accomplishments without exploring the soul of the woman.	31	2.8	99317	02 Feb 2010	$14.2M	Fox Searchlight Pictures	http://www.foxsearchlight.com/amelia/
25	American Beauty	1999	R	01 Oct 1999	122 min	Drama	Sam Mendes	Alan Ball	Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley	Lester and Carolyn Burnham are on the outside, a perfect husband and wife, in a perfect house, in a perfect neighborhood. But inside, Lester is slipping deeper and deeper into a hopeless depression. He finally snaps when he becomes infatuated with one of his daughter's friends. Meanwhile, his daughter Jane is developing a happy friendship with a shy boy-next-door named Ricky, who lives with an abusive father.	English	USA	Won 5 Oscars. Another 109 wins & 81 nominations.	http://ia.media-imdb.com/images/M/MV5BMjM4NTI5NzYyNV5BMl5BanBnXkFtZTgwNTkxNTYxMTE@._V1_SX300.jpg	86	8.4	701303	tt0169547	88	certified	8.2	181	160	21	Flawlessly cast and brimming with dark, acid wit, American Beauty is a smart, provocative high point of late '90s mainstream Hollywood film.	93	3.8	656277	02 Jan 2002	N/A	Dream Works	http://www.amazon.com/exec/obidos/subst/video/misc/dreamworks/american-beauty/ab-home.html/002-3821383-4244813
26	American Graffiti	1973	PG	01 Aug 1973	110 min	Comedy, Drama	George Lucas	George Lucas, Gloria Katz, Willard Huyck	Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith	It's the proverbial end of the summer 1962 in a small southern California town. It's the evening before best friends and recent high school graduates, Curt Henderson and Steve Bolander, are scheduled to leave town to head to college back east. Curt, who received a lucrative local scholarship, is seen as the promise that their class holds. But Curt is having second thoughts about leaving what Steve basically sees as their dead end town. Curt's beliefs are strengthened when he spots an unknown beautiful blonde in a T-bird who mouths the words 'I love you' to him. As Curt tries to find that blonde while trying to get away from a local gang who have him somewhat hostage, Curt may come to a decision about his immediate future. Outgoing class president Steve, on the other hand, wants to leave, despite meaning that he will leave girlfriend, head cheerleader and Curt's sister, Laurie Henderson, behind. Steve and Laurie spend the evening 'negotiating' the state of their relationship. Meanwhile, two of their friends cruise around town for the evening. Steve has left his car to meek and mild-mannered Terry 'Toad' Fields to look after during his absence. The wheels give Toad a new sense of confidence, which he uses to try and impress Debbie Dunham, a more experienced girl generally out of his league. And John Milner, who is seen as the king of the street race in his souped-up yellow deuce coupe, tries to get rid of precocious pre-teen, Carol Morrison, who has somehow become his passenger for the evening, while dealing with the challenge of bold out-of-towner, Bob Falfa.	English	USA	Nominated for 5 Oscars. Another 8 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMjI5NjM5MjIyNF5BMl5BanBnXkFtZTgwNjg2MTUxMDE@._V1_SX300.jpg	N/A	7.5	57741	tt0069704	95	certified	8.4	43	41	2	One of the most influential of all teen films, American Graffiti is a funny, nostalgic, and bittersweet look at a group of recent high school grads' last days of innocence.	84	3.6	63158	15 Sep 1998	N/A	Universal Pictures	N/A
27	American History X	1998	R	20 Nov 1998	119 min	Crime, Drama	Tony Kaye	David McKenna	Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien	Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.	English	USA	Nominated for 1 Oscar. Another 3 wins & 9 nominations.	http://ia.media-imdb.com/images/M/MV5BMjMzNDUwNTIyMF5BMl5BanBnXkFtZTcwNjMwNDg3OA@@._V1_SX300.jpg	62	8.6	659913	tt0120586	83	certified	7.3	82	68	14	A compelling and provocative story led by an excellent performance by Edward Norton.	96	4.2	476123	06 Apr 1999	N/A	New Line Cinema	http://www.historyx.com
28	American Pie	1999	R	09 Jul 1999	95 min	Comedy, Romance	Paul Weitz, Chris Weitz	Adam Herz	Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan	Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always end up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? or will they learn something much different.	English	USA	9 wins & 14 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_SX300.jpg	58	7	284947	tt0163651	61	fresh	5.8	123	75	48	So embarrassing it's believable, American Pie succeeds in bringing back the teen movie genre.	60	3.4	33778460	21 Dec 1999	N/A	Universal Pictures	http://www.universalpictures.com/americanpie
29	The American President	1995	PG-13	17 Nov 1995	114 min	Comedy, Drama, Romance	Rob Reiner	Aaron Sorkin	Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox	Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade, a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts, they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent, Senator Bob Rumson, to launch an attack on the President's character, something he could not do in the previous election as Shepherd's wife had only recently died.	English, French	USA	Nominated for 1 Oscar. Another 1 win & 9 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_SX300.jpg	67	6.8	39871	tt0112346	90	certified	7	51	46	5	A charming romantic comedy with political bite, Rob Reiner's American President features strong lead performances and some poignant observations of politics and media in the 1990s.	77	3.3	54518	31 Aug 1999	N/A	Columbia Pictures	N/A
